"Area Name","Area Type","Year","Month","Seasonally Adjusted(Y/N)","Status","Labor Force","Employment","Unemployment","Unemployment Rate"
"Sutter County","County","1990","Annual","N","Final","33200","28500","4700","14.1"
"Tehama County","County","1990","Annual","N","Final","19940","17950","1990","10"
"Trinity County","County","1990","Annual","N","Final","5350","4680","670","12.5"
"Vallejo MSA","Metropolitan Area","1990","Annual","N","Final","165000","157100","7900","4.8"
"Solano County","County","1990","Annual","N","Final","165000","157100","7900","4.8"
"Visalia MSA","Metropolitan Area","1990","Annual","N","Final","145900","127900","18000","12.3"
"Tulare County","County","1990","Annual","N","Final","145900","127900","18000","12.3"
"Tuolumne County","County","1990","Annual","N","Final","19890","18550","1340","6.7"
"Yolo County","County","1990","Annual","N","Final","74100","69000","5100","6.9"
"Yuba City MSA","Metropolitan Area","1990","Annual","N","Final","55300","48300","7000","12.7"
"Yuba County","County","1990","Annual","N","Final","22200","19800","2400","10.7"
"California","State","1991","Annual","N","Final","15127400","13946700","1180800","7.8"
"Los Angeles-Long Beach-Glendale MD","Metropolitan Area","1991","Annual","N","Final","4457800","4100100","357800","8"
"Los Angeles County","County","1991","Annual","N","Final","4457800","4100100","357800","8"
"Yuba County","County","1991","Annual","N","Final","22700","19500","3200","14"
"Yuba City MSA","Metropolitan Area","1991","Annual","N","Final","57300","48200","9100","15.9"
"Yolo County","County","1991","Annual","N","Final","77200","71000","6100","7.9"
"Tuolumne County","County","1991","Annual","N","Final","20040","18280","1760","8.8"
"Visalia MSA","Metropolitan Area","1991","Annual","N","Final","153200","125100","28100","18.3"
"Tulare County","County","1991","Annual","N","Final","153200","125100","28100","18.3"
"Vallejo MSA","Metropolitan Area","1991","Annual","N","Final","166700","156100","10500","6.3"
"Solano County","County","1991","Annual","N","Final","166700","156100","10500","6.3"
"Trinity County","County","1991","Annual","N","Final","5140","4390","750","14.6"
"Tehama County","County","1991","Annual","N","Final","21220","18750","2470","11.6"
"Sutter County","County","1991","Annual","N","Final","34600","28700","5900","17.1"
"Siskiyou County","County","1991","Annual","N","Final","19160","16610","2550","13.3"
"Stockton-Lodi MSA","Metropolitan Area","1991","Annual","N","Final","231800","203600","28100","12.1"
"San Joaquin County","County","1991","Annual","N","Final","231800","203600","28100","12.1"
"Sierra County","County","1991","Annual","N","Final","1650","1470","180","10.9"
"Santa Clara County","County","1991","Annual","N","Final","842700","794000","48600","5.8"
"Santa Rosa-Petaluma MSA","Metropolitan Area","1991","Annual","N","Final","212100","200200","11900","5.6"
"Sonoma County","County","1991","Annual","N","Final","212100","200200","11900","5.6"
"Santa Maria-Santa Barbara MSA","Metropolitan Area","1991","Annual","N","Final","195100","183400","11700","6"
"Santa Barbara County","County","1991","Annual","N","Final","195100","183400","11700","6"
"Santa Cruz-Watsonville MSA","Metropolitan Area","1991","Annual","N","Final","137400","125100","12300","9"
"Santa Cruz County","County","1991","Annual","N","Final","137400","125100","12300","9"
"San Rafael MD","Metropolitan Area","1991","Annual","N","Final","130700","125700","5000","3.9"
"Marin County","County","1991","Annual","N","Final","130700","125700","5000","3.9"
"San Mateo County","County","1991","Annual","N","Final","367000","352200","14700","4"
"San Jose-Sunnyvale-Santa Clara MSA","Metropolitan Area","1991","Annual","N","Final","864000","811900","52100","6"
"San Luis Obispo-Paso Robles MSA","Metropolitan Area","1991","Annual","N","Final","96300","90400","5900","6.1"
"San Luis Obispo County","County","1991","Annual","N","Final","96300","90400","5900","6.1"
"San Francisco-San Mateo-Redwood City MD","Metropolitan Area","1991","Annual","N","Final","772500","735800","36700","4.7"
"San Francisco County","County","1991","Annual","N","Final","405500","383600","21900","5.4"
"San Diego-Chula Vista-Carlsbad MSA","Metropolitan Area","1991","Annual","N","Final","1208500","1131700","76700","6.3"
"San Diego County","County","1991","Annual","N","Final","1208500","1131700","76700","6.3"
"San Bernardino County","County","1991","Annual","N","Final","645300","591400","53900","8.3"
"San Benito County","County","1991","Annual","N","Final","21300","17800","3500","16.2"
"Salinas MSA","Metropolitan Area","1991","Annual","N","Final","171600","152000","19600","11.4"
"Monterey County","County","1991","Annual","N","Final","171600","152000","19600","11.4"
"Sacramento-Roseville-Folsom MSA","Metropolitan Area","1991","Annual","N","Final","761900","710000","51900","6.8"
"Sacramento County","County","1991","Annual","N","Final","527900","492500","35400","6.7"
"Riverside-San Bernardino-Ontario MSA","Metropolitan Area","1991","Annual","N","Final","1196100","1086100","110000","9.2"
"Riverside County","County","1991","Annual","N","Final","550800","494600","56100","10.2"
"Redding MSA","Metropolitan Area","1991","Annual","N","Final","68300","60800","7500","11"
"Shasta County","County","1991","Annual","N","Final","68300","60800","7500","11"
"Plumas County","County","1991","Annual","N","Final","9670","8600","1080","11.1"
"Placer County","County","1991","Annual","N","Final","91200","85200","6000","6.5"
"Oxnard-Thousand Oaks-Ventura MSA","Metropolitan Area","1991","Annual","N","Final","367000","339000","28000","7.6"
"Ventura County","County","1991","Annual","N","Final","367000","339000","28000","7.6"
"Oakland-Fremont-Berkeley MD","Metropolitan Area","1991","Annual","N","Final","1107500","1046600","60900","5.5"
"Nevada County","County","1991","Annual","N","Final","38430","35900","2520","6.6"
"Napa MSA","Metropolitan Area","1991","Annual","N","Final","55300","52000","3200","5.8"
"Napa County","County","1991","Annual","N","Final","55300","52000","3200","5.8"
"Mono County","County","1991","Annual","N","Final","5470","4800","660","12.1"
"Modoc County","County","1991","Annual","N","Final","3890","3400","490","12.6"
"Modesto MSA","Metropolitan Area","1991","Annual","N","Final","183700","156300","27400","14.9"
"Stanislaus County","County","1991","Annual","N","Final","183700","156300","27400","14.9"
"Merced MSA","Metropolitan Area","1991","Annual","N","Final","77400","65200","12200","15.8"
"Merced County","County","1991","Annual","N","Final","77400","65200","12200","15.8"
"Mendocino County","County","1991","Annual","N","Final","38840","34680","4160","10.7"
"Mariposa County","County","1991","Annual","N","Final","6960","6450","500","7.2"
"Madera County","County","1991","Annual","N","Final","44300","37600","6700","15.1"
"Lassen County","County","1991","Annual","N","Final","10260","9180","1080","10.5"
"Lake County","County","1991","Annual","N","Final","20940","18700","2250","10.7"
"Inyo County","County","1991","Annual","N","Final","7180","6470","710","9.8"
"Humboldt County","County","1991","Annual","N","Final","56800","51700","5000","8.9"
"Glenn County","County","1991","Annual","N","Final","11110","9340","1760","15.9"
"Hanford-Corcoran MSA","Metropolitan Area","1991","Annual","N","Final","38700","33700","5000","12.8"
"Kings County","County","1991","Annual","N","Final","38700","33700","5000","12.8"
"Fresno MSA","Metropolitan Area","1991","Annual","N","Final","381900","329400","52400","13.7"
"Fresno County","County","1991","Annual","N","Final","337500","291800","45700","13.5"
"El Dorado County","County","1991","Annual","N","Final","65600","61200","4400","6.7"
"Del Norte County","County","1991","Annual","N","Final","9790","8580","1210","12.3"
"El Centro MSA","Metropolitan Area","1991","Annual","N","Final","49000","36200","12900","26.2"
"Imperial County","County","1991","Annual","N","Final","49000","36200","12900","26.2"
"Contra Costa County","County","1991","Annual","N","Final","435000","411000","24000","5.5"
"Colusa County","County","1991","Annual","N","Final","8110","6640","1470","18.1"
"Chico MSA","Metropolitan Area","1991","Annual","N","Final","79400","71600","7800","9.9"
"Butte County","County","1991","Annual","N","Final","79400","71600","7800","9.9"
"Calaveras County","County","1991","Annual","N","Final","13990","12670","1310","9.4"
"Amador County","County","1991","Annual","N","Final","12000","11150","840","7"
"Bakersfield-Delano MSA","Metropolitan Area","1991","Annual","N","Final","265100","232500","32700","12.3"
"Kern County","County","1991","Annual","N","Final","265100","232500","32700","12.3"
"Anaheim-Santa Ana-Irvine MD","Metropolitan Area","1991","Annual","N","Final","1320300","1249900","70300","5.3"
"Orange County","County","1991","Annual","N","Final","1320300","1249900","70300","5.3"
"Alpine County","County","1991","Annual","N","Final","360","310","50","13.4"
"Alameda County","County","1991","Annual","N","Final","672500","635600","36900","5.5"
"California","State","1992","Annual","N","Final","15314800","13878500","1436200","9.4"
"Los Angeles-Long Beach-Glendale MD","Metropolitan Area","1992","Annual","N","Final","4453200","4013100","440100","9.9"
"Los Angeles County","County","1992","Annual","N","Final","4453200","4013100","440100","9.9"
"Alameda County","County","1992","Annual","N","Final","677000","632300","44800","6.6"
"Alpine County","County","1992","Annual","N","Final","350","290","60","16.7"
"Anaheim-Santa Ana-Irvine MD","Metropolitan Area","1992","Annual","N","Final","1330600","1241200","89400","6.7"
"Orange County","County","1992","Annual","N","Final","1330600","1241200","89400","6.7"
"Bakersfield-Delano MSA","Metropolitan Area","1992","Annual","N","Final","273100","229900","43200","15.8"
"Kern County","County","1992","Annual","N","Final","273100","229900","43200","15.8"
"Amador County","County","1992","Annual","N","Final","12710","11540","1180","9.3"
"Calaveras County","County","1992","Annual","N","Final","15030","13220","1820","12.1"
"Chico MSA","Metropolitan Area","1992","Annual","N","Final","82000","72200","9800","11.9"
"Butte County","County","1992","Annual","N","Final","82000","72200","9800","11.9"
"Colusa County","County","1992","Annual","N","Final","8230","6450","1790","21.7"
"Contra Costa County","County","1992","Annual","N","Final","442000","412800","29200","6.6"
"El Centro MSA","Metropolitan Area","1992","Annual","N","Final","54000","37300","16700","30.9"
"Imperial County","County","1992","Annual","N","Final","54000","37300","16700","30.9"
"Del Norte County","County","1992","Annual","N","Final","9850","8320","1530","15.5"
"El Dorado County","County","1992","Annual","N","Final","67200","61500","5800","8.6"
"Fresno County","County","1992","Annual","N","Final","352800","297700","55200","15.6"
"Fresno MSA","Metropolitan Area","1992","Annual","N","Final","399700","336700","63000","15.8"
"Hanford-Corcoran MSA","Metropolitan Area","1992","Annual","N","Final","40600","34400","6200","15.3"
"Kings County","County","1992","Annual","N","Final","40600","34400","6200","15.3"
"Glenn County","County","1992","Annual","N","Final","11410","9230","2170","19.1"
"Humboldt County","County","1992","Annual","N","Final","58900","53000","5900","10.1"
"Inyo County","County","1992","Annual","N","Final","7170","6340","830","11.6"
"Lake County","County","1992","Annual","N","Final","22350","19460","2890","12.9"
"Lassen County","County","1992","Annual","N","Final","10770","9530","1240","11.5"
"Madera County","County","1992","Annual","N","Final","46900","39000","7900","16.8"
"Mariposa County","County","1992","Annual","N","Final","7160","6530","630","8.8"
"Mendocino County","County","1992","Annual","N","Final","39790","34880","4920","12.4"
"Merced MSA","Metropolitan Area","1992","Annual","N","Final","83100","68500","14500","17.5"
"Merced County","County","1992","Annual","N","Final","83100","68500","14500","17.5"
"Modesto MSA","Metropolitan Area","1992","Annual","N","Final","191900","160100","31800","16.6"
"Stanislaus County","County","1992","Annual","N","Final","191900","160100","31800","16.6"
"Modoc County","County","1992","Annual","N","Final","4010","3500","520","12.9"
"Mono County","County","1992","Annual","N","Final","5820","5200","620","10.7"
"Napa MSA","Metropolitan Area","1992","Annual","N","Final","57500","53400","4200","7.2"
"Napa County","County","1992","Annual","N","Final","57500","53400","4200","7.2"
"Nevada County","County","1992","Annual","N","Final","39590","36220","3370","8.5"
"Oakland-Fremont-Berkeley MD","Metropolitan Area","1992","Annual","N","Final","1119000","1045000","74000","6.6"
"Oxnard-Thousand Oaks-Ventura MSA","Metropolitan Area","1992","Annual","N","Final","373000","339300","33700","9"
"Ventura County","County","1992","Annual","N","Final","373000","339300","33700","9"
"Placer County","County","1992","Annual","N","Final","93500","85500","8000","8.5"
"Plumas County","County","1992","Annual","N","Final","9680","8320","1360","14.1"
"Redding MSA","Metropolitan Area","1992","Annual","N","Final","72900","63300","9600","13.2"
"Shasta County","County","1992","Annual","N","Final","72900","63300","9600","13.2"
"Riverside County","County","1992","Annual","N","Final","576200","507500","68700","11.9"
"Riverside-San Bernardino-Ontario MSA","Metropolitan Area","1992","Annual","N","Final","1244900","1111500","133400","10.7"
"Sacramento County","County","1992","Annual","N","Final","528900","484900","44100","8.3"
"Sacramento-Roseville-Folsom MSA","Metropolitan Area","1992","Annual","N","Final","771500","706900","64600","8.4"
"Salinas MSA","Metropolitan Area","1992","Annual","N","Final","177200","155000","22100","12.5"
"Monterey County","County","1992","Annual","N","Final","177200","155000","22100","12.5"
"San Benito County","County","1992","Annual","N","Final","21900","18100","3800","17.4"
"San Bernardino County","County","1992","Annual","N","Final","668700","604000","64600","9.7"
"San Diego-Chula Vista-Carlsbad MSA","Metropolitan Area","1992","Annual","N","Final","1213400","1124900","88600","7.3"
"San Diego County","County","1992","Annual","N","Final","1213400","1124900","88600","7.3"
"San Francisco County","County","1992","Annual","N","Final","404800","376900","27800","6.9"
"San Francisco-San Mateo-Redwood City MD","Metropolitan Area","1992","Annual","N","Final","772800","726100","46700","6"
"San Luis Obispo-Paso Robles MSA","Metropolitan Area","1992","Annual","N","Final","99600","92100","7500","7.5"
"San Luis Obispo County","County","1992","Annual","N","Final","99600","92100","7500","7.5"
"San Jose-Sunnyvale-Santa Clara MSA","Metropolitan Area","1992","Annual","N","Final","868500","806400","62200","7.2"
"San Mateo County","County","1992","Annual","N","Final","368100","349200","18900","5.1"
"San Rafael MD","Metropolitan Area","1992","Annual","N","Final","130400","123800","6600","5.1"
"Marin County","County","1992","Annual","N","Final","130400","123800","6600","5.1"
"Santa Cruz-Watsonville MSA","Metropolitan Area","1992","Annual","N","Final","139000","125400","13600","9.8"
"Santa Cruz County","County","1992","Annual","N","Final","139000","125400","13600","9.8"
"Santa Maria-Santa Barbara MSA","Metropolitan Area","1992","Annual","N","Final","193000","178600","14400","7.5"
"Santa Barbara County","County","1992","Annual","N","Final","193000","178600","14400","7.5"
"Santa Rosa-Petaluma MSA","Metropolitan Area","1992","Annual","N","Final","217200","201800","15400","7.1"
"Sonoma County","County","1992","Annual","N","Final","217200","201800","15400","7.1"
"Santa Clara County","County","1992","Annual","N","Final","846600","788300","58400","6.9"
"Sierra County","County","1992","Annual","N","Final","1710","1520","190","11.2"
"Stockton-Lodi MSA","Metropolitan Area","1992","Annual","N","Final","239500","205500","34000","14.2"
"San Joaquin County","County","1992","Annual","N","Final","239500","205500","34000","14.2"
"Siskiyou County","County","1992","Annual","N","Final","19410","16350","3070","15.8"
"Sutter County","County","1992","Annual","N","Final","34100","27400","6700","19.7"
"Tehama County","County","1992","Annual","N","Final","23030","20050","2980","12.9"
"Trinity County","County","1992","Annual","N","Final","5270","4380","890","16.9"
"Vallejo MSA","Metropolitan Area","1992","Annual","N","Final","173100","160300","12900","7.4"
"Solano County","County","1992","Annual","N","Final","173100","160300","12900","7.4"
"Visalia MSA","Metropolitan Area","1992","Annual","N","Final","154200","127100","27100","17.6"
"Tulare County","County","1992","Annual","N","Final","154200","127100","27100","17.6"
"Tuolumne County","County","1992","Annual","N","Final","20760","18400","2360","11.4"
"Yolo County","County","1992","Annual","N","Final","81900","75000","6800","8.3"
"Yuba City MSA","Metropolitan Area","1992","Annual","N","Final","56500","45900","10600","18.8"
"Yuba County","County","1992","Annual","N","Final","22400","18500","3900","17.5"
"California","State","1993","Annual","N","Final","15258800","13804100","1454700","9.5"
"Los Angeles-Long Beach-Glendale MD","Metropolitan Area","1993","Annual","N","Final","4349200","3911600","437500","10.1"
"Los Angeles County","County","1993","Annual","N","Final","4349200","3911600","437500","10.1"
"Yuba County","County","1993","Annual","N","Final","23000","19000","4000","17.5"
"Yuba City MSA","Metropolitan Area","1993","Annual","N","Final","57700","47100","10600","18.3"
"Yolo County","County","1993","Annual","N","Final","82700","76000","6700","8"
"Tuolumne County","County","1993","Annual","N","Final","20610","18150","2460","11.9"
"Visalia MSA","Metropolitan Area","1993","Annual","N","Final","157600","128900","28600","18.2"
"Tulare County","County","1993","Annual","N","Final","157600","128900","28600","18.2"
"Vallejo MSA","Metropolitan Area","1993","Annual","N","Final","174600","160300","14300","8.2"
"Solano County","County","1993","Annual","N","Final","174600","160300","14300","8.2"
"Trinity County","County","1993","Annual","N","Final","5180","4310","870","16.7"
"Tehama County","County","1993","Annual","N","Final","23300","20230","3070","13.2"
"Sutter County","County","1993","Annual","N","Final","34700","28100","6500","18.8"
"Siskiyou County","County","1993","Annual","N","Final","19300","16300","3000","15.5"
"Stockton-Lodi MSA","Metropolitan Area","1993","Annual","N","Final","241700","207500","34200","14.2"
"San Joaquin County","County","1993","Annual","N","Final","241700","207500","34200","14.2"
"Sierra County","County","1993","Annual","N","Final","1810","1610","200","11.1"
"Santa Clara County","County","1993","Annual","N","Final","846500","787700","58800","6.9"
"Santa Rosa-Petaluma MSA","Metropolitan Area","1993","Annual","N","Final","220000","205400","14600","6.6"
"Sonoma County","County","1993","Annual","N","Final","220000","205400","14600","6.6"
"Santa Maria-Santa Barbara MSA","Metropolitan Area","1993","Annual","N","Final","192800","177900","14900","7.8"
"Santa Barbara County","County","1993","Annual","N","Final","192800","177900","14900","7.8"
"Santa Cruz-Watsonville MSA","Metropolitan Area","1993","Annual","N","Final","140300","125600","14700","10.5"
"Santa Cruz County","County","1993","Annual","N","Final","140300","125600","14700","10.5"
"San Rafael MD","Metropolitan Area","1993","Annual","N","Final","130600","123900","6700","5.1"
"Marin County","County","1993","Annual","N","Final","130600","123900","6700","5.1"
"San Mateo County","County","1993","Annual","N","Final","368200","349400","18800","5.1"
"San Jose-Sunnyvale-Santa Clara MSA","Metropolitan Area","1993","Annual","N","Final","868800","806400","62400","7.2"
"San Luis Obispo-Paso Robles MSA","Metropolitan Area","1993","Annual","N","Final","101200","92900","8300","8.2"
"San Luis Obispo County","County","1993","Annual","N","Final","101200","92900","8300","8.2"
"San Francisco-San Mateo-Redwood City MD","Metropolitan Area","1993","Annual","N","Final","774200","726700","47500","6.1"
"San Francisco County","County","1993","Annual","N","Final","406000","377200","28800","7.1"
"San Diego-Chula Vista-Carlsbad MSA","Metropolitan Area","1993","Annual","N","Final","1217600","1122100","95400","7.8"
"San Diego County","County","1993","Annual","N","Final","1217600","1122100","95400","7.8"
"San Bernardino County","County","1993","Annual","N","Final","675600","608400","67100","9.9"
"San Benito County","County","1993","Annual","N","Final","22200","18700","3600","16.1"
"Salinas MSA","Metropolitan Area","1993","Annual","N","Final","176700","153600","23100","13.1"
"Monterey County","County","1993","Annual","N","Final","176700","153600","23100","13.1"
"Sacramento-Roseville-Folsom MSA","Metropolitan Area","1993","Annual","N","Final","772600","708300","64300","8.3"
"Sacramento County","County","1993","Annual","N","Final","529400","485200","44200","8.4"
"Riverside-San Bernardino-Ontario MSA","Metropolitan Area","1993","Annual","N","Final","1257400","1119700","137700","11"
"Riverside County","County","1993","Annual","N","Final","581800","511200","70600","12.1"
"Redding MSA","Metropolitan Area","1993","Annual","N","Final","73100","63900","9200","12.6"
"Shasta County","County","1993","Annual","N","Final","73100","63900","9200","12.6"
"Plumas County","County","1993","Annual","N","Final","9670","8210","1470","15.1"
"Placer County","County","1993","Annual","N","Final","93100","85600","7600","8.1"
"Oxnard-Thousand Oaks-Ventura MSA","Metropolitan Area","1993","Annual","N","Final","375200","341200","34000","9.1"
"Ventura County","County","1993","Annual","N","Final","375200","341200","34000","9.1"
"Oakland-Fremont-Berkeley MD","Metropolitan Area","1993","Annual","N","Final","1119300","1044600","74600","6.7"
"Nevada County","County","1993","Annual","N","Final","40190","36790","3400","8.5"
"Napa MSA","Metropolitan Area","1993","Annual","N","Final","57900","53400","4600","7.9"
"Napa County","County","1993","Annual","N","Final","57900","53400","4600","7.9"
"Mono County","County","1993","Annual","N","Final","5970","5410","560","9.4"
"Modoc County","County","1993","Annual","N","Final","3930","3390","530","13.6"
"Modesto MSA","Metropolitan Area","1993","Annual","N","Final","194000","161300","32700","16.9"
"Stanislaus County","County","1993","Annual","N","Final","194000","161300","32700","16.9"
"Merced MSA","Metropolitan Area","1993","Annual","N","Final","83200","68700","14400","17.4"
"Merced County","County","1993","Annual","N","Final","83200","68700","14400","17.4"
"Mendocino County","County","1993","Annual","N","Final","40330","35780","4550","11.3"
"Mariposa County","County","1993","Annual","N","Final","7240","6510","730","10.1"
"Madera County","County","1993","Annual","N","Final","47800","40000","7800","16.3"
"Lassen County","County","1993","Annual","N","Final","10930","9570","1360","12.4"
"Lake County","County","1993","Annual","N","Final","22870","19810","3060","13.4"
"Inyo County","County","1993","Annual","N","Final","7100","6310","790","11.2"
"Humboldt County","County","1993","Annual","N","Final","59600","53600","5900","9.9"
"Glenn County","County","1993","Annual","N","Final","11350","9380","1970","17.4"
"Hanford-Corcoran MSA","Metropolitan Area","1993","Annual","N","Final","40900","34700","6300","15.3"
"Kings County","County","1993","Annual","N","Final","40900","34700","6300","15.3"
"Fresno MSA","Metropolitan Area","1993","Annual","N","Final","409400","345500","63800","15.6"
"Fresno County","County","1993","Annual","N","Final","361500","305500","56000","15.5"
"El Dorado County","County","1993","Annual","N","Final","67400","61500","5900","8.7"
"Del Norte County","County","1993","Annual","N","Final","9750","8360","1390","14.2"
"El Centro MSA","Metropolitan Area","1993","Annual","N","Final","55300","39000","16200","29.4"
"Imperial County","County","1993","Annual","N","Final","55300","39000","16200","29.4"
"Contra Costa County","County","1993","Annual","N","Final","442000","412600","29300","6.6"
"Colusa County","County","1993","Annual","N","Final","8470","6630","1840","21.7"
"Chico MSA","Metropolitan Area","1993","Annual","N","Final","82500","72600","9900","12"
"Butte County","County","1993","Annual","N","Final","82500","72600","9900","12"
"Calaveras County","County","1993","Annual","N","Final","14940","13120","1810","12.1"
"Amador County","County","1993","Annual","N","Final","12820","11620","1190","9.3"
"Bakersfield-Delano MSA","Metropolitan Area","1993","Annual","N","Final","273200","230000","43200","15.8"
"Kern County","County","1993","Annual","N","Final","273200","230000","43200","15.8"
"Anaheim-Santa Ana-Irvine MD","Metropolitan Area","1993","Annual","N","Final","1326400","1235900","90500","6.8"
"Orange County","County","1993","Annual","N","Final","1326400","1235900","90500","6.8"
